Hapke_specimen_voucher,Lab_ID,GenBank_accession,Region ,Site ,mt_haplotype_species,HV1_haplotype_label
Hzf_Mg_Hamb030,HZ 01,JF510161,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb031,HZ 02,JF510162,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb032,HZ 03,JF510163,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb033,HZ 04,JF510164,Andohahela ,Hazofotsy,Microcebus griseorufus,DR
Hzf_Mg_Hamb034,HZ 05,JF510165,Andohahela ,Hazofotsy,Microcebus griseorufus,DR
Hzf_Mg_Hamb035,HZ 06,JF510166,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb036,HZ 07,JF510167,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb037,HZ 08,JF510168,Andohahela ,Hazofotsy,Microcebus griseorufus,DR
Hzf_Mg_Hamb038,HZ 09,JF510169,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb039,HZ 10,JF510170,Andohahela ,Hazofotsy,Microcebus griseorufus,DS
Hzf_Mg_Hamb040,HZ 11,JF510171,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb041,HZ 12,JF510172,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb042,HZ 13,JF510173,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb043,HZ 14,JF510174,Andohahela ,Hazofotsy,Microcebus griseorufus,DT
Hzf_Mg_Hamb104,HZ 15,JF510175,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Hzf_Mg_Hamb105,HZ 16,JF510176,Andohahela ,Hazofotsy,Microcebus griseorufus,DQ
Mtk_Mg_Hamb059,MG 05,JF510177,Andohahela ,Mangatsiaka,Microcebus griseorufus,CW
Mtk_Mg_Hamb060,MG 06,JF510178,Andohahela ,Mangatsiaka,Microcebus griseorufus,DU
Mtk_Mg_Hamb126,MG 16,JF510179,Andohahela ,Mangatsiaka,Microcebus griseorufus,DU
Mtk_Mg_Hamb130,MG 20,JF510180,Andohahela ,Mangatsiaka,Microcebus griseorufus,BM
Mtk_Mg_Hamb132,MG 22,JF510181,Andohahela ,Mangatsiaka,Microcebus griseorufus,DU
Mtk_Mg_Hamb135,MG 25,JF510182,Andohahela ,Mangatsiaka,Microcebus griseorufus,DU
Mtk_Mg_Hamb136,MG 26,JF510183,Andohahela ,Mangatsiaka,Microcebus griseorufus,DS
Mtk_Mg_Hamb147,MG 37,JF510184,Andohahela ,Mangatsiaka,Microcebus griseorufus,BQ
Mtk_Mg_Hamb166,MG 63,JF510185,Andohahela ,Mangatsiaka,Microcebus griseorufus,CW
Mtk_Mg_Hamb167,MG 64,JF510186,Andohahela ,Mangatsiaka,Microcebus griseorufus,CW
Mtk_Mg_MAndo81,Micro 81,JF510187,Andohahela ,Mangatsiaka,Microcebus griseorufus,CW
Mtk_Mg_MAndo84,Micro 84,JF510188,Andohahela ,Mangatsiaka,Microcebus griseorufus,CW
Tml_Mg_Hamb078,TM 41,JF510189,Andohahela ,Tsimelahy,Microcebus griseorufus,CW
Tml_Mg_Hamb082,TM 46,JF510190,Andohahela ,Tsimelahy,Microcebus griseorufus,CW
Tml_Mg_Hamb085,TM 49,JF510191,Andohahela ,Tsimelahy,Microcebus griseorufus,CU
Tml_Mg_Hamb086,TM 50,JF510192,Andohahela ,Tsimelahy,Microcebus griseorufus,CV
Tml_Mg_Hamb087,TM 51,JF510193,Andohahela ,Tsimelahy,Microcebus griseorufus,CU
Tml_Mg_Hamb088,TM 52,JF510194,Andohahela ,Tsimelahy,Microcebus griseorufus,CW
Tml_Mg_MAndo13,Micro 13,JF510195,Andohahela ,Tsimelahy,Microcebus griseorufus,CU
Tml_Mg_MAndo14,Micro 14,JF510196,Andohahela ,Tsimelahy,Microcebus griseorufus,CV
Tml_Mg_MAndo19,Micro 19,JF510197,Andohahela ,Tsimelahy,Microcebus griseorufus,CW
Tml_Mg_MAndo31,Micro 31,JF510198,Andohahela ,Tsimelahy,Microcebus griseorufus,CW
