pop	col	what	genus	species
ganzhorni	black	species	microcebus	ganzhorni
mgan	black	sp	microcebus	ganzhorni
gri-C	orange2	pop	microcebus	griseorufus
gri-W	orangered	pop	microcebus	griseorufus
griC	orange2	pop	microcebus	griseorufus
griseorufus	#D69B12	species	microcebus	griseorufus
griW	orangered	pop	microcebus	griseorufus
mgri	#D69B12	sp	microcebus	griseorufus
hybrid	black	species	microcebus	hybrid
mhyb	black	sp	microcebus	murinus
mmur	#FF00FF	sp	microcebus	murinus
mur-C	violetred	pop	microcebus	murinus
mur-E	violet	pop	microcebus	murinus
mur-W	orchid4	pop	microcebus	murinus
murC	violetred	pop	microcebus	murinus
murE	violet	pop	microcebus	murinus
murinus	#FF00FF	species	microcebus	murinus
murW	orchid4	pop	microcebus	murinus
