ID	Sample_ID	site	lat	lon
mhyb001	2006	Mangatsiaka	-24.9631472222222	46.5573833333333
mhyb002	2009	Mangatsiaka	-24.9625583333333	46.5558638888889
mgri072	2019	Mangatsiaka	-24.9628305555556	46.5575111111111
mgri073	2020	Mangatsiaka	-24.96265	46.5579833333333
mgri074	2021	Mangatsiaka	-24.9622194444444	46.5579722222222
mhyb003	2026	Mangatsiaka	-24.9630833333333	46.5557611111111
mhyb004	2027	Mangatsiaka	-24.9633388888889	46.5574888888889
mhyb005	2033	Mangatsiaka	-24.9633388888889	46.5574888888889
mhyb006	2034	Mangatsiaka	-24.9629805555556	46.5579083333333
mgri068	886	Mangatsiaka	-24.9630833333333	46.5557611111111
mgri069	887	Mangatsiaka	-24.9631472222222	46.5573833333333
mgri070	889	Mangatsiaka	-24.9632444444444	46.5577972222222
mgri071	890	Mangatsiaka	-24.9622222222222	46.5573777777778
mmur037	AB01	Ambatoabo	-24.8191722222222	46.6696555555556
mmur038	AB03	Ambatoabo	-24.8191722222222	46.6696555555556
mmur039	AB04	Ambatoabo	-24.8182916666667	46.6712944444444
mmur040	AB06	Ambatoabo	-24.8188694444444	46.6644305555556
mmur041	AB12	Ambatoabo	-24.8190277777778	46.6701055555556
mmur042	AB15	Ambatoabo	-24.8182916666667	46.6712944444444
mmur043	AB16	Ambatoabo	-24.8175277777778	46.6722333333333
mmur044	AB18	Ambatoabo	-24.817575	46.6727138888889
mgri075	HZ03	Hazofotsy	-24.841575	46.528875
mgri076	HZ05	Hazofotsy	-24.8289194444444	46.5476333333333
mgri077	HZ06	Hazofotsy	-24.8280111111111	46.5492083333333
mgri078	HZ11	Hazofotsy	-24.8416583333333	46.5290305555556
mgri079	HZ12	Hazofotsy	-24.8416583333333	46.5290305555556
mgri080	HZ13	Hazofotsy	-24.8422694444444	46.5294611111111
mgri081	HZ15	Hazofotsy	-24.84135	46.5288833333333
mgri082	HZ16	Hazofotsy	-24.84135	46.5288833333333
mhyb007	MG03	Mangatsiaka	-24.9624611111111	46.5534277777778
mgri083	MG05	Mangatsiaka	-24.9641722222222	46.5576361111111
mgri084	MG06	Mangatsiaka	-24.9664527777778	46.5546
