Sample_ID	site	lat	lon	ID.short	species.short	species.cor	msat.hybrid
2006	Mangatsiaka	-24.9631472222222	46.5573833333333	mhyb001	mhyb	mgri	hybrid
2009	Mangatsiaka	-24.9625583333333	46.5558638888889	mhyb002	mhyb	mmur	hybrid
2019	Mangatsiaka	-24.9628305555556	46.5575111111111	mgri072	mgri	mgri	pure
2020	Mangatsiaka	-24.96265	46.5579833333333	mgri073	mgri	mgri	pure
2021	Mangatsiaka	-24.9622194444444	46.5579722222222	mgri074	mgri	mgri	pure
2026	Mangatsiaka	-24.9630833333333	46.5557611111111	mhyb003	mhyb	mgri	hybrid
2027	Mangatsiaka	-24.9633388888889	46.5574888888889	mhyb004	mhyb	mgri	hybrid
2033	Mangatsiaka	-24.9633388888889	46.5574888888889	mhyb005	mhyb	mgri	hybrid
2034	Mangatsiaka	-24.9629805555556	46.5579083333333	mhyb006	mhyb	mgri	hybrid
886	Mangatsiaka	-24.9630833333333	46.5557611111111	mgri068	mgri	mgri	pure
887	Mangatsiaka	-24.9631472222222	46.5573833333333	mgri069	mgri	mgri	pure
889	Mangatsiaka	-24.9632444444444	46.5577972222222	mgri070	mgri	mgri	pure
890	Mangatsiaka	-24.9622222222222	46.5573777777778	mgri071	mgri	mgri	pure
AB01	Ambatoabo	-24.8191722222222	46.6696555555556	mmur037	mmur	mmur	pure
AB03	Ambatoabo	-24.8191722222222	46.6696555555556	mmur038	mmur	mmur	pure
AB04	Ambatoabo	-24.8182916666667	46.6712944444444	mmur039	mmur	mmur	pure
AB06	Ambatoabo	-24.8188694444444	46.6644305555556	mmur040	mmur	mmur	pure
AB12	Ambatoabo	-24.8190277777778	46.6701055555556	mmur041	mmur	mmur	pure
AB15	Ambatoabo	-24.8182916666667	46.6712944444444	mmur042	mmur	mmur	pure
AB16	Ambatoabo	-24.8175277777778	46.6722333333333	mmur043	mmur	mmur	pure
AB18	Ambatoabo	-24.817575	46.6727138888889	mmur044	mmur	mmur	pure
HZ03	Hazofotsy	-24.841575	46.528875	mgri075	mgri	mgri	pure
HZ05	Hazofotsy	-24.8289194444444	46.5476333333333	mgri076	mgri	mgri	pure
HZ06	Hazofotsy	-24.8280111111111	46.5492083333333	mgri077	mgri	mgri	pure
HZ11	Hazofotsy	-24.8416583333333	46.5290305555556	mgri078	mgri	mgri	pure
HZ12	Hazofotsy	-24.8416583333333	46.5290305555556	mgri079	mgri	mgri	pure
HZ13	Hazofotsy	-24.8422694444444	46.5294611111111	mgri080	mgri	mgri	pure
HZ15	Hazofotsy	-24.84135	46.5288833333333	mgri081	mgri	mgri	pure
HZ16	Hazofotsy	-24.84135	46.5288833333333	mgri082	mgri	mgri	pure
MG03	Mangatsiaka	-24.9624611111111	46.5534277777778	mhyb007	mhyb	mmur	hybrid
MG05	Mangatsiaka	-24.9641722222222	46.5576361111111	mgri083	mgri	mgri	pure
MG06	Mangatsiaka	-24.9664527777778	46.5546	mgri084	mgri	mgri	pure
MG15	Mangatsiaka	-24.9668861111111	46.5542888888889	mhyb008	mhyb	mmur	hybrid
MG16	Mangatsiaka	-24.9662444444444	46.5547277777778	mgri085	mgri	mgri	pure
MG17	Mangatsiaka	-24.9627916666667	46.5587722222222	mmur045	mmur	mmur	pure
MG18	Mangatsiaka	-24.9607555555556	46.5601694444444	mhyb009	mhyb	mmur	hybrid
MG19	Mangatsiaka	-24.9637027777778	46.5544	mmur046	mmur	mmur	pure
MG20	Mangatsiaka	-24.9628111111111	46.55635	mgri086	mgri	mgri	pure
MG22	Mangatsiaka	-24.9662444444444	46.5547277777778	mgri087	mgri	mgri	pure
MG23	Mangatsiaka	-24.9610666666667	46.5590555555556	mmur047	mmur	mmur	pure
MG24	Mangatsiaka	-24.9633	46.5552638888889	mhyb010	mhyb	mmur	hybrid
MG25	Mangatsiaka	-24.9641722222222	46.5576361111111	mgri088	mgri	mgri	pure
MG26	Mangatsiaka	-24.9621305555556	46.5582027777778	mhyb011	mhyb	mgri	hybrid
MG27	Mangatsiaka	-24.9637027777778	46.5544	mhyb012	mhyb	mmur	hybrid
MG28	Mangatsiaka	-24.9628111111111	46.55635	mmur048	mmur	mmur	pure
MG34	Mangatsiaka	-24.9621805555556	46.5533583333333	mhyb013	mhyb	mmur	hybrid
MG42	Mangatsiaka	-24.9621805555556	46.5533583333333	mmur049	mmur	mmur	pure
MG49	Mangatsiaka	-24.9640472222222	46.5537916666667	mmur050	mmur	mmur	pure
MG50	Mangatsiaka	-24.9635555555556	46.5536055555555	mhyb014	mhyb	mmur	hybrid
MG58	Mangatsiaka	-24.9635555555556	46.5536055555555	mmur051	mmur	mmur	pure
MG64	Mangatsiaka	-24.9629833333333	46.5570555555556	mhyb015	mhyb	mgri	hybrid
MG65	Mangatsiaka	-24.9616222222222	46.5563361111111	mmur052	mmur	mmur	pure
MG66	Mangatsiaka	-24.9622472222222	46.5565055555556	mmur053	mmur	mmur	pure
MG67	Mangatsiaka	-24.9631333333333	46.5580222222222	mmur054	mmur	mmur	pure
MG68	Mangatsiaka	-24.9627972222222	46.558875	mmur055	mmur	mmur	pure
MG73	Mangatsiaka	-24.9624444444444	46.5551611111111	mmur056	mmur	mmur	pure
MG75	Mangatsiaka	-24.9628027777778	46.5537638888889	mmur057	mmur	mmur	pure
MG79	Mangatsiaka	-24.9641111111111	46.5556722222222	mmur058	mmur	mmur	pure
MG83	Mangatsiaka	-24.9633333333333	46.5546972222222	mmur059	mmur	mmur	pure
MG84	Mangatsiaka	-24.9639777777778	46.5549805555556	mmur060	mmur	mmur	pure
MG85	Mangatsiaka	-24.96285	46.5581333333333	mgri089	mgri	mgri	pure
MG88	Mangatsiaka	-24.962975	46.5538694444444	mmur061	mmur	mmur	pure
MG92	Mangatsiaka	-24.9627527777778	46.5569222222222	mmur062	mmur	mmur	pure
Micro04	Tsimelahy	-24.95625	46.6178	mmur063	mmur	mmur	pure
Micro06	Tsimelahy	-24.9545111111111	46.6206888888889	mmur064	mmur	mmur	pure
Micro12	Tsimelahy	-24.95835	46.6163694444444	mmur065	mmur	mmur	pure
Micro13	Tsimelahy	-24.9510694444444	46.6179194444444	mgri090	mgri	mgri	pure
Micro14	Tsimelahy	-24.9560694444444	46.61075	mgri091	mgri	mgri	pure
Micro19	Tsimelahy	-24.9555888888889	46.6130694444444	mgri092	mgri	mgri	pure
Micro24	Tsimelahy	-24.9541611111111	46.6191888888889	mmur066	mmur	mmur	pure
Micro25	Tsimelahy	-24.9481305555556	46.6216611111111	mmur067	mmur	mmur	pure
Micro27	Tsimelahy	-24.9479611111111	46.6212194444444	mmur068	mmur	mmur	pure
Micro31	Tsimelahy	-24.9555888888889	46.6130694444444	mgri093	mgri	mgri	pure
Micro33	Tsimelahy	-24.9553611111111	46.6139888888889	mhyb016	mhyb	mgri	hybrid
Micro38	Tsimelahy	-24.95835	46.6163694444444	mmur069	mmur	mmur	pure
Micro44	Tsimelahy	-24.9521805555556	46.6169305555556	mgri094	mgri	mgri	pure
Micro49	Tsimelahy	-24.95425	46.6193	mmur070	mmur	mmur	pure
Micro58	Tsimelahy	-24.95615	46.6104805555556	mgri095	mgri	mgri	pure
Micro60	Tsimelahy	-24.9511	46.6177388888889	mgri096	mgri	mgri	pure
Micro70	Tsimelahy	-24.9559305555556	46.6111694444444	mgri097	mgri	mgri	pure
Micro81	Mangatsiaka	-24.9688361111111	46.5573138888889	mgri098	mgri	mgri	pure
Micro88	Mangatsiaka	-24.9666833333333	46.5545833333333	mmur071	mmur	mmur	pure
TM41	Tsimelahy	-24.95605	46.6108083333333	mgri099	mgri	mgri	pure
TM42	Tsimelahy	-24.9480388888889	46.621075	mmur072	mmur	mmur	pure
TM43	Tsimelahy	-24.957525	46.6171055555556	mmur073	mmur	mmur	pure
TM44	Tsimelahy	-24.9549027777778	46.6194611111111	mmur074	mmur	mmur	pure
TM46	Tsimelahy	-24.95555	46.61275	mgri100	mgri	mgri	pure
TM47	Tsimelahy	-24.9479638888889	46.6212694444444	mmur075	mmur	mmur	pure
TM48	Tsimelahy	-24.948575	46.6205555555556	mmur076	mmur	mmur	pure
TM49	Tsimelahy	-24.9555777777778	46.6125222222222	mgri101	mgri	mgri	pure
TM50	Tsimelahy	-24.9558222222222	46.6136416666667	mgri102	mgri	mgri	pure
TM51	Tsimelahy	-24.9562111111111	46.6164916666667	mgri103	mgri	mgri	pure
TM52	Tsimelahy	-24.956325	46.6154972222222	mgri104	mgri	mgri	pure
TM53	Tsimelahy	-24.9563722222222	46.6172861111111	mmur077	mmur	mmur	pure
