tubeID	location
MG 01	S24 57 57.29, E046 33 12.31
MG 02	S24 57 50.57, E046 33 13.65
MG 03	S24 57 44.86, E046 33 12.34
MG 04	S24 57 51.79, E046 33 26.21
MG 05	S24 57 51.02, E046 33 27.49
MG 06	S24 57 59.23, E046 33 16.56
MG 07	S24 57 57.29, E046 33 12.31
MG 08	S24 57 56.51, E046 33 12.27
MG 09	S24 57 51.42, E046 33 13.85
MG 10	S24 57 45.76, E046 33 12.60
MG 11	S24 58 05.35, E046 33 55.53
MG 12	S24 58 04.95, E046 33 55.00
MG 13	S24 58 06.46, E046 34 01.71
MG 14	S24 58 04.95, E046 33 55.00
MG 15	S24 58 00.79, E046 33 15.44
MG 16	S24 57 58.48, E046 33 17.02
MG 17	S24 57 46.05, E046 33 31.58
MG 18	S24 57 38.72, E046 33 36.61
MG 19	S24 57 49.33, E046 33 15.84
MG 20	S24 57 46.12, E046 33 22.86
MG 21	S24 57 46.12, E046 33 22.86
MG 22	S24 57 58.48, E046 33 17.02
MG 23	S24 57 39.84, E046 33 32.60
MG 24	S24 57 47.88, E046 33 18.95
MG 25	S24 57 51.02, E046 33 27.49
MG 26	S24 57 43.67, E046 33 29.53
MG 27	S24 57 49.33, E046 33 15.84
MG 28	S24 57 46.12, E046 33 22.86
MG 29	S24 58 06.46, E046 34 01.71
MG 30	S24 58 05.56, E046 33 56.44
MG 31	S24 58 06.46, E046 34 01.71
MG 32	S24 58 00.09, E046 33 12.47
MG 33	S24 57 53.24, E046 33 13.60
MG 34	S24 57 43.85, E046 33 12.09
MG 35	S24 57 36.58, E046 33 09.85
MG 36	S24 57 34.13, E046 33 10.24
MG 37	S24 57 30.18, E046 33 10.92
MG 38	S24 58 04.09, E046 33 53.47
MG 39	S24 58 05.86, E046 34 00.77
MG 40	S24 57 59.81, E046 33 12.59
MG 41	S24 57 48.80, E046 33 12.98
MG 42	S24 57 43.85, E046 33 12.09
MG 43	S24 57 43.85, E046 33 12.09
MG 44	S24 57 36.58, E046 33 09.85
MG 45	S24 58 06.46, E046 34 01.71
MG 46	S24 58 00.09, E046 33 12.47
MG 47	S24 57 56.51, E046 33 12.27
MG 48	S24 57 54.76, E046 33 13.02
MG 49	S24 57 50.57, E046 33 13.65
MG 50	S24 57 48.80, E046 33 12.98
MG 56	S24 57 59.97, E046 33 15.88
MG 58	S24 57 48.80, E046 33 12.98
MG 59	S24 57 32.56, E046 33 10.19
MG 60	S24 57 44.86, E046 33 12.34
MG 61	S24 57 57.29, E046 33 12.31
MG 62	S24 57 51.42, E046 33 13.85
MG 63	S24 57 31.85, E046 33 10.50
MG 64	S24 57 46.74, E046 33 25.40
MG 65	S24 57 41.84, E046 33 22.81
MG 66	S24 57 44.09, E046 33 23.42
MG 67	S24 57 47.28, E046 33 28.88
MG 68	S24 57 46.07, E046 33 31.95
MG 69	S24 57 44.79, E046 33 31.11
MG 70	S24 57 41.97, E046 33 26.50
MG 71	S24 57 44.51, E046 33 31.91
MG 72	S24 57 47.41, E046 33 19.78
MG 73	S24 57 44.80, E046 33 18.58
MG 74	S24 57 50.34, E046 33 21.55
MG 75	S24 57 46.09, E046 33 13.55
MG 76	S24 57 45.76, E046 33 14.10
MG 77	S24 57 44.53, E046 33 17.11
Micro 80	S24 58 10.92, E046 33 20.32
Micro 81	S24 58 7.81, E046 33 26.33
Micro 82	S24 58 4.66, E046 33 51.25
Micro 83	S24 58 4.14, E046 33 52.92
Micro 84	S24 58 7.81, E046 33 26.33
Micro 88	S24 58 0.06, E046 33 16.5
MG 78	S24 57 45.76, E046 33 14.10
MG 79	S24 57 50.80, E046 33 20.42
NA	S24 57 47.61, E046 33 21.82
NA	S24 57 44.59, E046 33 27.08
MG 82	S24 57 49.33, E046 33 15.84
MG 83	S24 57 48.00, E046 33 16.91
MG 84	S24 57 50.32, E046 33 17.93
MG 85	S24 57 46.26, E046 33 29.28
MG 86	S24 57 48.22, E046 33 16.08
MG 87	S24 57 46.71, E046 33 13.93
MG 88	S24 57 46.71, E046 33 13.93
MG 89	S24 57 46.73, E046 33 28.47
MG 90	S24 57 46.07, E046 33 31.95
MG 91	S24 57 48.00, E046 33 16.91
MG 92	S24 57 45.91, E046 33 24.92
MG 93	S24 57 52.27, E046 33 17.25
MG 94	S24 57 52.27, E046 33 17.25
MG 95	S24 57 43.10, E046 33 30.82
MG 96	S24 57 41.37, E046 33 26.84
MG 97	S24 57 46.13, E046 33 17.35
MG 98	S24 57 45.92, E046 33 16.84
Micro 02	S24 56 53.16, E046 37 15.78
Micro 04	S24 57 22.5, E046 37 4.08
Micro 06	S24 57 16.24, E046 37 14.48
Micro 12	S24 57 30.06, E046 36 58.93
Micro 13	S24 57 3.85, E046 37 4.51
Micro 14	S24 57 21.85, E046 36 38.7
Micro 17	S24 57 30.82, E046 36 58.32
Micro 19	S24 57 20.12, E046 36 47.05
Micro 24	S24 57 14.98, E046 37 9.08
Micro 25	S24 56 53.27, E046 37 17.98
Micro 27	S24 56 52.66, E046 37 16.39
Micro 31	S24 57 20.12, E046 36 47.05
Micro 33	S24 57 19.3, E046 36 50.36
Micro 36	S24 57 29.27, E046 36 59.33
Micro 38	S24 57 30.06, E046 36 58.93
TM 41	S24 57 21.78, E046 36 38.91
TM 42	S24 56 52.94, E046 37 15.87
TM 43	S24 57 27.09, E046 37 01.58
Micro 43	S24 57 21.85, E046 36 38.7
TM 44	S24 57 17.65, E046 37 10.06
Micro 44	S24 57 7.85, E046 37 0.95
TM 46	S24 57 19.98, E046 36 45.90
Micro 46	S24 57 16.85, E046 37 13.22
TM 47	S24 56 52.67, E046 37 16.57
TM 49	S24 57 20.08, E046 36 45.08
Micro 49	S24 57 15.3, E046 37 9.48
TM 50	S24 57 20.96, E046 36 49.11
TM 51	S24 57 22.36, E046 36 59.37
TM 52	S24 57 22.77, E046 36 55.79
TM 53	S24 57 22.94, E046 37 02.23
Micro 58	S24 57 22.14, E046 36 37.73
Micro 59	S24 56 53.92, E046 37 15.42
Micro 60	S24 57 3.96, E046 37 3.86
Micro 70	S24 57 21.35, E046 36 40.21
2010	S24 57 45.82, E046 33 25.77
2011	S24 57 50.27, E046 33 22.11
2013	S24 57 47.61, E046 33 21.82
2014	S24 57 48.45, E046 33 25.42
2015	S24 57 44.13, E046 33 25.68
2016	S24 57 46.68, E046 33 26.15
2017	S24 57 43.90, E046 33 24.18
2023	S24 57 45.58, E046 33 20.43
2024	S24 57 46.94, E046 33 27.55
2029	S24 57 47.92, E046 33 21.07
888	S24 57 45.82, E046 33 25.77
2007	S24 57 48.03, E046 33 14.86
2008	S24 57 49.65, E046 33 17.04
2012	S24 57 50.80, E046 33 20.42
2018	S24 57 43.40, E046 33 19.44
2022	S24 57 40.80, E046 33 26.32
2025	S24 57 50.80, E046 33 20.42
2028	S24 57 44.68, E046 33 29.26
2030	S24 57 52.27, E046 33 17.25
2031	S24 57 48.98, E046 33 22.59
2032	S24 57 43.05, E046 33 21.63
2035	S24 57 47.14, E046 33 24.47
887	S24 57 47.33, E046 33 26.58
889	S24 57 47.68, E046 33 28.07
890	S24 57 44.00, E046 33 26.56
2006	S24 57 47.33, E046 33 26.58
2009	S24 57 45.21, E046 33 21.11
2019	S24 57 46.19, E046 33 27.04
2026	S24 57 47.10, E046 33 20.74
2027	S24 57 48.02, E046 33 26.96
2034	S24 57 46.73, E046 33 28.47
886	S24 57 47.10, E046 33 20.74
2020	S24 57 45.54, E046 33 28.74
2021	S24 57 43.99, E046 33 28.70
2033	S24 57 48.02, E046 33 26.96
