ID	Sample_ID	species	site	pop
mgan007	00-016A-8577	ganzhorni	Mandena	mur-E
mgan008	00-016A-875E	ganzhorni	Mandena	mur-E
mgan010	00-016A-8A1D	ganzhorni	Mandena	mur-E
mgan011	00-016A-8EBC	ganzhorni	Mandena	mur-E
mgan014	00072854DC	ganzhorni	Mandena	mur-E
mgan016	0007289B19	ganzhorni	Mandena	mur-E
mgan017	00074C3B6F	ganzhorni	Mandena	mur-E
mgan018	00074C3F7D	ganzhorni	Mandena	mur-E
mgan019	00074C439B	ganzhorni	Mandena	mur-E
mgan021	00074C54EC	ganzhorni	Mandena	mur-E
mgan022	00074CHC59	ganzhorni	Mandena	mur-E
mgri005	JMR008	griseorufus	Antabore	gri-W
mgri006	JMR009	griseorufus	Antabore	gri-W
mgri007	JMR010	griseorufus	Antabore	gri-W
mgri008	JMR011	griseorufus	Antabore	gri-W
mgri037	JMR007	griseorufus	Tongaenoro	gri-W
mgri040	000611B575	griseorufus	Tsimanampetsotsa	gri-W
mgri041	000611C0E8	griseorufus	Tsimanampetsotsa	gri-W
mgri043	00063932CD	griseorufus	Tsimanampetsotsa	gri-W
mgri044	00063935DE	griseorufus	Tsimanampetsotsa	gri-W
mgri045	00063983C7	griseorufus	Tsimanampetsotsa	gri-W
mgri046	00063999A9	griseorufus	Tsimanampetsotsa	gri-W
mgri047	000639B1E7	griseorufus	Tsimanampetsotsa	gri-W
mgri050	JMR025	griseorufus	Vombositse	gri-W
mgri051	JMR026	griseorufus	Vombositse	gri-W
mmur001	RMR44	murinus	Andranomena	mur-W
mmur002	RMR45	murinus	Andranomena	mur-W
mmur004	RMR47	murinus	Andranomena	mur-W
mmur006	RMR49	murinus	Andranomena	mur-W
mmur009	Joerg33	murinus	Kirindy	mur-W
mmur012	RMR27	murinus	Manamby	mur-W
mmur013	RMR28	murinus	Manamby	mur-W
mmur014	RMR29	murinus	Manamby	mur-W
mruf003	RMR147	rufus	Andrambovato	NA
mruf007	E250M100	rufus	Ranomafana	NA
mruf008	E250M91	rufus	Ranomafana	NA
