ID	Sample_ID	species	sp	seqruns	site	pop	poptype	sp_msat_nuc	sp_mtDNA	sp_msat_overall
mgri068	886	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mmur	hybrid
mgri069	887	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mmur	hybrid
mgri070	889	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri071	890	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mmur	hybrid
mgri072	2019	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri073	2020	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri074	2021	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri075	HZ03	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri076	HZ05	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri077	HZ06	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri078	HZ11	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri079	HZ12	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri080	HZ13	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri081	HZ15	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri082	HZ16	griseorufus	mgri	r03	Hazofotsy	gri-C	parapatric	mgri	mgri	mgri
mgri083	MG05	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri084	MG06	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri085	MG16	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri086	MG20	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri087	MG22	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri088	MG25	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri089	MG85	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri090	Micro13	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri091	Micro14	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri092	Micro19	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri093	Micro31	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri094	Micro44	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri095	Micro58	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri096	Micro60	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri097	Micro70	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri098	Micro81	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mgri099	TM41	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri100	TM46	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri101	TM49	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri102	TM50	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri103	TM51	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mgri104	TM52	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	mgri	mgri	mgri
mhyb001	2006	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	hybrid	mgri	hybrid
mhyb002	2009	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb003	2026	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	hybrid	mgri	hybrid
mhyb004	2027	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	mgri	mgri	mgri
mhyb005	2033	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	hybrid	mgri	hybrid
mhyb006	2034	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	hybrid	mgri	hybrid
mhyb007	MG03	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb008	MG15	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb009	MG18	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb010	MG24	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb011	MG26	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	hybrid	mgri	hybrid
mhyb012	MG27	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb013	MG34	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb014	MG50	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	hybrid	mmur	hybrid
mhyb015	MG64	griseorufus	mgri	r03	Mangatsiaka	gri-C	sympatric	hybrid	mgri	hybrid
mhyb016	Micro33	griseorufus	mgri	r03	Tsimelahy	gri-C	sympatric	hybrid	mgri	hybrid
mmur037	AB01	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
mmur038	AB03	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
mmur039	AB04	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
mmur040	AB06	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
mmur041	AB12	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
mmur042	AB15	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
mmur043	AB16	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
