Sample_ID	Joerg_ID	Originalbezeichnung	tubeID
AB01	AB 01	AB B04 01	AB 01
AB02	AB 02	AB B02 02	AB 02
AB03	AB 03	AB B04 03	AB 03
AB04	AB 04	AB B12 04	AB 04
AB06	AB 06	AB A16 06	AB 06
AB07	AB 07	AB A17 07	AB 07
AB08	AB 08	AB B12 08	AB 08
AB10	AB 10	AB B05 10	AB 10
AB11	AB 11	AB B09 11	AB 11
AB12	AB 12	12	AB 12
AB13	AB 13	13	AB 13
AB14	AB 14	14	AB 14
AB15	AB 15	15	AB 15
AB16	AB 16	16	AB 16
AB17	AB 17	17	AB 17
AB18	AB 18	18	AB 18
AB19	AB 19	19	AB 19
AB20	AB 20	20	AB 20
NA	AB 05	AB A01 05	NA
AK01	AK 01	1	AK 01
AK02	AK 02	2	AK 02
AK03	AK 03	3	AK 03
AK04	AK 04	4	AK 04
NA	AK 05	5	NA
Micro51	EB 51-2006	Micro 51	Micro 51
Micro53	EB 53-2006	Micro 53	Micro 53
Micro71	EB 71-2006	Micro 71	Micro 71
Micro72	EB 72-2006	Micro 72	Micro 72
Micro73	EB 73-2006	Micro 73	Micro 73
Micro74	EB 74-2006	Micro 74	Micro 74
Micro75	EB 75-2006	Micro 75	Micro 75
Micro78	EB 78-2006	Micro 78	Micro 78
HZ02	HZ 02	HZ A10 02	HZ 02
HZ03	HZ 03	HZ A15 03	HZ 03
HZ04	HZ 04	HZ A16 04	HZ 04
HZ05	HZ 05	HZ B08 05	HZ 05
HZ06	HZ 06	HZ B15 06	HZ 06
HZ07	HZ 07	HZ A17 07	HZ 07
HZ09	HZ 09	HZ A10 09	HZ 09
HZ10	HZ 10	HZ A13 10	HZ 10
HZ11	HZ 11	HZ A16 11	HZ 11
HZ12	HZ 12	HZ A16 12	HZ 12
HZ13	HZ 13	HZ A19 13	HZ 13
HZ14	HZ 14	HZ A07 14	HZ 14
HZ15	HZ 15	15	HZ 15
HZ16	HZ 16	16	HZ 16
	HZ 01	HZ A07 01	
	HZ 08	HZ B01 08	
MV01	MV 01	1	MV 01
MV02	MV 02	2	MV 02
MV03	MV 03	3	MV 03
MV04	MV 04	4	MV 04
MV05	MV 05	5	MV 05
MV07	MV 07	7	MV 07
MV08	MV 08	8	MV 08
MV09	MV 09	9	MV 09
MV10	MV 10	10	MV 10
MV11	MV 11	11	MV 11
MV12	MV 12	12	MV 12
MV13	MV 13	13	MV 13
MV14	MV 14	14	MV 14
MV15	MV 15	15	MV 15
MV16	MV 16	16	MV 16
MV17	MV 17	17	MV 17
MV18	MV 18	18	MV 18
MV19	MV 19	19	MV 19
MV06	MV 06	6	MV 06
886	886	886	886
887	887	887	887
888	888	888	888
889	889	889	889
890	890	890	890
2006	2006	2006	2006
2007	2007	2007	2007
2008	2008	2008	2008
2009	2009	2009	2009
2012	2012	2012	2012
2018	2018	2018	2018
2019	2019	2019	2019
2020	2020	2020	2020
2021	2021	2021	2021
2022	2022	2022	2022
2025	2025	2025	2025
2026	2026	2026	2026
2027	2027	2027	2027
2028	2028	2028	2028
2030	2030	2030	2030
2031	2031	2031	2031
2032	2032	2032	2032
2033	2033	2033	2033
2034	2034	2034	2034
2035	2035	2035	2035
MG01	MG 01	MG C04 01	MG 01
MG02	MG 02	MG C12 02	MG 02
MG03	MG 03	MG C19 03	MG 03
MG04	MG 04	MG A16 04	MG 04
MG05	MG 05	MG A18 05	MG 05
MG06	MG 06	MG A02 06	MG 06
MG07	MG 07	MG C04 07	MG 07
MG08	MG 08	MG C05 08	MG 08
MG09	MG 09	MG C11 09	MG 09
MG10	MG 10	MG C18 10	MG 10
MG11	MG 11	MG B12 11	MG 11
MG12	MG 12	MG B11 12	MG 12
MG13	MG 13	MG B19 13	MG 13
MG14	MG 14	MG B11 14	MG 14
MG15	MG 15	15	MG 15
MG16	MG 16	16	MG 16
MG17	MG 17	17	MG 17
MG18	MG 18	18	MG 18
MG19	MG 19	19	MG 19
MG20	MG 20	20	MG 20
MG21	MG 21	21	MG 21
MG22	MG 22	22	MG 22
MG23	MG 23	23	MG 23
MG24	MG 24	24	MG 24
MG25	MG 25	25	MG 25
MG26	MG 26	26	MG 26
MG27	MG 27	27	MG 27
MG28	MG 28	28	MG 28
MG29	MG 29	29	MG 29
MG30	MG 30	30	MG 30
MG31	MG 31	31	MG 31
MG32	MG 32	32	MG 32
MG33	MG 33	33	MG 33
MG34	MG 34	34	MG 34
MG35	MG 35	35	MG 35
MG36	MG 36	36	MG 36
MG37	MG 37	37	MG 37
MG38	MG 38	38	MG 38
MG39	MG 39	39	MG 39
MG40	MG 40	40	MG 40
MG41	MG 41	41	MG 41
MG42	MG 42	42	MG 42
MG43	MG 43	43	MG 43
MG44	MG 44	44	MG 44
MG45	MG 45	45	MG 45
MG46	MG 46	46	MG 46
MG47	MG 47	47	MG 47
MG48	MG 48	48	MG 48
MG49	MG 49	49	MG 49
MG50	MG 50	50	MG 50
MG56	MG 56	MG A01 56	MG 56
MG58	MG 58	58	MG 58
MG59	MG 59	59	MG 59
MG60	MG 60	60	MG 60
MG61	MG 61	61	MG 61
MG62	MG 62	62	MG 62
MG63	MG 63	63	MG 63
MG64	MG 64	64	MG 64
MG65	MG 65	65	MG 65
MG66	MG 66	66	MG 66
MG67	MG 67	67	MG 67
