Lab_ID	species_2018	Site	Year	RADseq_done	RADseq_pass	RADseq_rescue	DnaConc_Duke
886	Hy	Mangatsiaka	2017	1	0	0	12.5
887	Hy	Mangatsiaka	2017	1	0	1	12.7
888	Mm	Mangatsiaka	2017	0	NA	NA	NA
889	Mm	Mangatsiaka	2017	1	0	1	20.6
890	Hy	Mangatsiaka	2017	1	0	1	28.8
2006	Mg	Mangatsiaka	2017	1	0	1	34.8
2007	Mm	Mangatsiaka	2017	0	NA	NA	NA
2008	Mm	Mangatsiaka	2017	0	NA	NA	NA
2009	Hy	Mangatsiaka	2017	1	0	1	32.2
2012	Mm	Mangatsiaka	2017	0	NA	NA	NA
2018	Mm	Mangatsiaka	2017	0	NA	NA	NA
2019	Mg	Mangatsiaka	2017	1	0	1	39
2020	Mg	Mangatsiaka	2017	1	0	0	13.9
2021	Mg	Ambatoabo	2007	1	0	0	22.4
2022	Mm	Ambatoabo	2007	0	NA	NA	NA
2025	Mg	Ambatoabo	2007	0	NA	NA	NA
2026	Mg	Ambatoabo	2007	1	1	0	28.2
2027	Mg	Ambatoabo	2008	1	1	0	32.6
2028	Hy	Ambatoabo	2008	0	NA	NA	NA
2030	Mm	Ambatoabo	2008	0	NA	NA	NA
2031	Hy	Ambatoabo	2008	0	NA	NA	NA
2032	Mm	Hazofotsy	2007	0	NA	NA	NA
2033	Hy	Hazofotsy	2007	1	0	0	15
2034	Hy	Hazofotsy	2007	1	1	0	19.3
2035	Mm	Hazofotsy	2007	0	NA	NA	NA
00072867A8	tanosi	Hazofotsy	2007	0	NA	NA	NA
00074C3D9E	tanosi	Hazofotsy	2007	0	NA	NA	NA
00074C3DA4	tanosi	Hazofotsy	2008	0	NA	NA	NA
00074C57EF	tanosi	Hazofotsy	2008	0	NA	NA	NA
00074C6042	tanosi	Mangatsiaka	2007	0	NA	NA	NA
00074C7637	tanosi	Mangatsiaka	2007	0	NA	NA	NA
00074C7E45	tanosi	Mangatsiaka	2007	0	NA	NA	NA
00074CA0F6	tanosi	Mangatsiaka	2008	0	NA	NA	NA
00074F0135	tanosi	Mangatsiaka	2008	0	NA	NA	NA
0007GC4BAE	tanosi	Mangatsiaka	2008	0	NA	NA	NA
0074C6AB4	tanosi	Mangatsiaka	2008	0	NA	NA	NA
AB 01	Mm	Mangatsiaka	2008	1	1	0	7.3
AB 02	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 03	Mm	Mangatsiaka	2008	1	1	0	10
AB 04	Mm	Mangatsiaka	2008	1	1	0	10
AB 06	Mm	Mangatsiaka	2008	1	1	0	12.6
AB 07	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 08	Hy	Mangatsiaka	2008	0	NA	NA	NA
AB 10	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 11	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 12	Mm	Mangatsiaka	2008	1	1	0	14
AB 13	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 14	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 15	Mm	Mangatsiaka	2008	1	1	0	18
AB 16	Mm	Mangatsiaka	2008	1	1	0	23.2
AB 17	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 18	Mm	Mangatsiaka	2008	1	1	0	18.7
AB 19	Mm	Mangatsiaka	2008	0	NA	NA	NA
AB 20	Mm	Mangatsiaka	2008	0	NA	NA	NA
AK 01	Mm	Mangatsiaka	2008	0	NA	NA	NA
AK 02	Mm	Mangatsiaka	2008	0	NA	NA	NA
AK 03	Mm	Mangatsiaka	2008	0	NA	NA	NA
AK 04	Mm	Mangatsiaka	2009	0	NA	NA	NA
AK 05	Mm	Mangatsiaka	2009	0	NA	NA	NA
HZ 02	Mg	Mangatsiaka	2009	0	NA	NA	NA
HZ 03	Mg	Mangatsiaka	2009	1	1	0	11.3
HZ 04	Mg	Mangatsiaka	2009	0	NA	NA	NA
HZ 05	Mg	Mangatsiaka	2009	1	1	0	10.7
HZ 06	Mg	Tsimelahy	2006	1	1	0	19.2
HZ 07	Mg	Tsimelahy	2006	0	NA	NA	NA
HZ 09	Mg	Tsimelahy	2006	0	NA	NA	NA
HZ 10	Mg	Tsimelahy	2006	0	NA	NA	NA
HZ 11	Mg	Tsimelahy	2006	1	1	0	8.7
HZ 12	Mg	Tsimelahy	2006	1	1	0	7.8
HZ 13	Mg	Tsimelahy	2006	1	1	0	8.2
HZ 14	Mg	Tsimelahy	2006	0	NA	NA	NA
HZ 15	Mg	Tsimelahy	2006	1	0	0	9
HZ 16	Mg	Tsimelahy	2006	1	1	0	9.2
MG 01	Mm	Tsimelahy	2006	0	NA	NA	NA
MG 02	Mm	Tsimelahy	2006	0	NA	NA	NA
MG 03	Hy	Tsimelahy	2006	1	1	0	8.2
MG 04	Mm	Tsimelahy	2006	0	NA	NA	NA
MG 05	Mg	Tsimelahy	2006	1	0	0	29.6
MG 06	Mg	Tsimelahy	2006	1	1	0	15.6
MG 07	Mm	Tsimelahy	2006	0	NA	NA	NA
MG 08	Mm	Mangatsiaka	2006	0	NA	NA	NA
MG 09	Mm	Mangatsiaka	2006	0	NA	NA	NA
MG 10	Mm	Tsimelahy	2008	0	NA	NA	NA
MG 11	Mm	Tsimelahy	2008	0	NA	NA	NA
MG 12	Hy	Tsimelahy	2008	0	NA	NA	NA
MG 13	Hy	Tsimelahy	2008	0	NA	NA	NA
MG 14	Mm	Tsimelahy	2008	0	NA	NA	NA
MG 15	Hy	Tsimelahy	2008	1	1	0	25
